date,product_id,competitor_name,competitor_price,in_stock
2024-07-08,P1000,CompetitorZ,391.17,True
2024-07-15,P1000,CompetitorZ,382.46,True
2024-07-22,P1000,CompetitorZ,375.28,True
2024-07-29,P1000,CompetitorZ,360.77,True
2024-08-05,P1000,CompetitorZ,395.56,True
2024-08-12,P1000,CompetitorZ,402.81,True
2024-08-19,P1000,CompetitorZ,399.22,True
2024-08-26,P1000,CompetitorZ,375.59,True
2024-09-02,P1000,CompetitorZ,405.92,True
2024-09-09,P1000,CompetitorZ,385.41,True
2024-09-16,P1000,CompetitorZ,382.94,True
2024-09-23,P1000,CompetitorZ,385.14,True
2024-09-30,P1000,CompetitorZ,394.58,True
2024-10-07,P1000,CompetitorZ,376.12,True
2024-10-14,P1000,CompetitorZ,393.22,True
2024-10-21,P1000,CompetitorZ,398.73,True
2024-10-28,P1000,CompetitorZ,406.73,True
2024-11-04,P1000,CompetitorZ,395.73,True
2024-11-11,P1000,CompetitorZ,377.83,True
2024-11-18,P1000,CompetitorZ,395.41,True
2024-11-25,P1000,CompetitorZ,381.13,True
2024-12-02,P1000,CompetitorZ,380.45,True
2024-12-09,P1000,CompetitorZ,377.56,True
2024-12-16,P1000,CompetitorZ,371.08,True
2024-12-23,P1000,CompetitorZ,386.96,True
2024-12-30,P1000,CompetitorZ,406.99,True
2025-01-06,P1000,CompetitorZ,420.3,True
2025-01-13,P1000,CompetitorZ,386.88,True
2025-01-20,P1000,CompetitorZ,406.48,True
2025-01-27,P1000,CompetitorZ,388.99,True
2025-02-03,P1000,CompetitorZ,374.16,True
2025-02-10,P1000,CompetitorZ,401.93,True
2025-02-17,P1000,CompetitorZ,396.43,True
2025-02-24,P1000,CompetitorZ,415.12,True
2025-03-03,P1000,CompetitorZ,375.53,True
2025-03-10,P1000,CompetitorZ,426.67,True
2025-03-17,P1000,CompetitorZ,412.45,True
2025-03-24,P1000,CompetitorZ,393.44,True
2025-03-31,P1000,CompetitorZ,390.13,True
2025-04-07,P1000,CompetitorZ,385.2,True
2025-04-14,P1000,CompetitorZ,394.95,True
2025-04-21,P1000,CompetitorZ,391.48,True
2025-04-28,P1000,CompetitorZ,399.72,True
2025-05-05,P1000,CompetitorZ,390.18,True
2025-05-12,P1000,CompetitorZ,410.36,True
2025-05-19,P1000,CompetitorZ,395.13,True
2025-05-26,P1000,CompetitorZ,390.62,True
2025-06-02,P1000,CompetitorZ,405.75,True
2025-06-09,P1000,CompetitorZ,374.49,True
2025-06-16,P1000,CompetitorZ,397.68,True
2025-06-23,P1000,CompetitorZ,393.96,True
2025-06-30,P1000,CompetitorZ,376.99,True
2025-07-07,P1000,CompetitorZ,373.48,True
2025-07-14,P1000,CompetitorZ,405.59,True
2025-07-21,P1000,CompetitorZ,405.02,True
2025-07-28,P1000,CompetitorZ,395.69,True
2025-08-04,P1000,CompetitorZ,413.93,True
2025-08-11,P1000,CompetitorZ,398.86,True
2025-08-18,P1000,CompetitorZ,408.41,True
2025-08-25,P1000,CompetitorZ,398.62,True
2025-09-01,P1000,CompetitorZ,390.4,True
2025-09-08,P1000,CompetitorZ,381.16,True
2025-09-15,P1000,CompetitorZ,386.53,True
