Date,Product_ID,Base_Sales,Marketing_Campaign,Marketing_Effect,Seasonal_Trend,Seasonal_Effect,Price,Discount,Competitor_Price,Stock_Availability,Public_Holiday,Demand
2019-01-01,P002,65,Social Media,1.6342700889981565,Spring,1.0,73.49605852848562,0.078198422618669,64.17341815128772,491,False,60570
2019-01-01,P004,94,Social Media,1.2405663691715136,Summer,1.2,74.2718623830541,0.18215065638786632,69.57139079850894,135,True,18143
2019-01-01,P003,125,Radio,1.0876000050057222,Summer,1.2,35.27461616991012,0.10259205465897721,27.331267922944484,180,False,37412
2019-01-01,P004,128,TV,1.8316569657647848,Winter,0.8,79.52424840993854,0.19612539133606377,73.4295020843345,227,False,40773
2019-01-01,P001,51,Radio,1.2851608153952494,Fall,1.1,96.23740188867451,0.07925335258736285,88.24387052381721,338,False,26917
2019-01-01,P002,110,None,1.0,Spring,1.0,81.46003797642166,0.0720336850693265,79.91010612971107,336,True,38459
2019-01-01,P005,55,Radio,1.060654381537146,Spring,1.0,39.23856060224634,0.12987299436531852,36.79849883558057,299,True,17801
2019-01-01,P005,171,Social Media,1.310016922478387,Summer,1.2,98.27871054877417,0.18518438413818106,92.17912197416094,400,False,102752
2019-01-01,P001,185,None,1.0,Fall,1.1,69.01260989515625,0.1997367601430851,59.436389486160266,412,False,85696
2019-01-01,P004,125,None,1.0,Fall,1.1,91.68764393465986,0.19924288392813078,89.32076894074198,301,True,37421
2019-01-01,P005,98,Email,1.2603998221978643,Winter,0.8,37.85139818058077,0.19955497919337223,36.585168928188644,13,False,1170
2019-01-01,P001,72,TV,1.9863667590101066,Summer,1.2,39.07595243123002,0.1845941396747564,29.98186531602916,158,True,31699
2019-01-01,P002,56,None,1.0,Summer,1.2,44.75252744882849,0.1996471807144391,43.73900366605268,156,False,9443
2019-01-01,P003,121,None,1.0,Fall,1.1,73.61207297567245,0.19198715215294704,66.63028452004264,277,False,36203
2019-01-01,P005,114,Email,1.3171738086580422,Fall,1.1,50.96393136182405,0.11965992017875332,44.398281524584604,220,False,40392
2019-01-01,P003,198,Social Media,1.5771137814985154,Fall,1.1,97.00306154324768,0.08957581050006543,94.64986093711784,172,True,60638
2019-01-01,P004,192,TV,1.7644024951369297,Spring,1.0,94.0185112568359,0.059226878896095,85.93850392782512,35,False,13423
2019-01-01,P005,139,None,1.0,Spring,1.0,56.54504930893609,0.07937968204165027,47.04857632535826,58,True,9812
2019-01-01,P004,130,Social Media,1.760638927469902,Spring,1.0,95.37484263826173,0.18461447163013428,92.78719946452229,34,True,7174
2019-01-01,P001,56,Email,1.1936174871605971,Winter,0.8,82.40941067809206,0.11262337499532916,73.5293776509646,415,False,24277
2019-01-01,P002,190,Radio,1.3585727691994152,Fall,1.1,91.08827790677171,0.15818890496492088,83.8200792951575,490,True,140006
2019-01-01,P005,87,Social Media,1.693938699845736,Fall,1.1,93.37276097270453,0.12169264882040735,90.64377272838301,219,True,35332
2019-01-01,P004,85,Social Media,1.706991256952059,Spring,1.0,77.51215622166863,0.19238309333432435,69.12829551615457,129,False,18644
2019-01-01,P003,110,Email,1.421309732664746,Winter,0.8,66.78988313369422,0.18571562468588865,63.60326401660847,379,False,44587
2019-01-01,P001,72,Email,1.0652239287601768,Summer,1.2,74.98630356052281,0.16514805810870561,71.2836261992399,378,True,33607
2019-01-01,P003,108,Radio,1.5248544846812655,Winter,0.8,38.80057036412843,0.07272847526709951,30.434870972155185,216,False,37005
2019-01-01,P004,199,None,1.0,Fall,1.1,31.632994280659695,0.18683115661911687,27.38006476465252,159,False,35968
2019-01-01,P003,127,TV,1.8457569403340468,Summer,1.2,62.17876145595728,0.09588702585330372,55.17638979147611,265,True,83542
2019-01-02,P002,116,TV,1.8311361250131688,Spring,1.0,40.96109856919497,0.12148020372073912,35.82072941282012,93,False,21829
