product_id,date,product_name,category,units_sold,revenue,price,discount,dataset,is_promo
P00001,2020-01-04,Wireless Earbuds,Books,3,911.53,232.83,0.0,Amazon,0
P00001,2020-01-05,Wireless Earbuds,Sports & Outdoors,1,337.877,355.66,0.05,Amazon,1
P00001,2020-01-06,Wireless Earbuds,Toys & Games,2,1025.46,512.73,0.0,Amazon,0
P00001,2020-01-08,Wireless Earbuds,Home & Kitchen,5,2049.7674999999995,431.53,0.05,Amazon,1
P00001,2020-01-09,Wireless Earbuds,Home & Kitchen,2,721.54,360.77,0.0,Amazon,0
P00001,2020-01-10,Wireless Earbuds,Clothing,5,664.8100000000001,139.96,0.05,Amazon,1
P00001,2020-01-11,Wireless Earbuds,Clothing,6,944.781,163.915,0.025,Amazon,1
P00001,2020-01-13,Wireless Earbuds,Electronics,5,802.9399999999999,169.04,0.05,Amazon,1
P00001,2020-01-14,Wireless Earbuds,Books,6,3023.0,482.77,0.0,Amazon,0
P00001,2020-01-15,Wireless Earbuds,Toys & Games,3,870.8399999999999,290.28,0.0,Amazon,0
P00001,2020-01-16,Wireless Earbuds,Home & Kitchen,9,3853.885,448.38,0.05,Amazon,1
P00001,2020-01-18,Wireless Earbuds,Home & Kitchen,10,4444.897,399.1133333333333,0.016666666666666666,Amazon,1
P00001,2020-01-21,Wireless Earbuds,Home & Kitchen,3,876.6899999999999,324.7,0.1,Amazon,1
P00001,2020-01-23,Wireless Earbuds,Electronics,10,4118.2455,399.78999999999996,0.016666666666666666,Amazon,1
P00001,2020-01-24,Wireless Earbuds,Sports & Outdoors,5,1344.7,268.94,0.0,Amazon,0
P00001,2020-01-27,Wireless Earbuds,Sports & Outdoors,3,1336.59,445.53,0.0,Amazon,0
P00001,2020-01-28,Wireless Earbuds,Home & Kitchen,10,3259.9655000000002,283.68333333333334,0.08333333333333333,Amazon,1
P00001,2020-01-29,Wireless Earbuds,Toys & Games,1,184.5375,194.25,0.05,Amazon,1
P00001,2020-01-30,Wireless Earbuds,Home & Kitchen,1,211.437,234.93,0.1,Amazon,1
P00001,2020-01-31,Wireless Earbuds,Electronics,6,2603.092,447.97,0.025,Amazon,1
P00001,2020-02-02,Wireless Earbuds,Clothing,3,139.1655,48.83,0.05,Amazon,1
